How many players at the table?
How many players' cards do you know?
[2s, 3s, 4s, 5s, 6s, 7s, 8s, 9s, 10s, Js, Qs, Ks, 2h, 3h, 4h, 5h, 6h, 7h, 9h, 10h, Jh, Qh, Kh, Ah, 2c, 3c, 4c, 5c, 6c, 7c, 8c, 9c, 10c, Jc, Qc, Kc, Ac, 2d, 4d, 5d, 6d, 7d, 8d, 9d, 10d, Jd]
GAME #1 : Winner - [0]
GAME #2 : Winner - [0]
GAME #3 : Winner - [1]
GAME #4 : Winner - [0]
GAME #5 : Winner - [2]
GAME #6 : Winner - [1]
GAME #7 : Winner - [0]
GAME #8 : Winner - [0]
GAME #9 : Winner - [2]
GAME #10 : Winner - [0]
GAME #11 : Winner - [0]
GAME #12 : Winner - [0]
GAME #13 : Winner - [0]
GAME #14 : Winner - [0]
GAME #15 : Winner - [2]
GAME #16 : Winner - [0]
GAME #17 : Winner - [0]
GAME #18 : Winner - [2]
GAME #19 : Winner - [2]
GAME #20 : Winner - [1]
GAME #21 : Winner - [2]
GAME #22 : Winner - [2]
GAME #23 : Winner - [2]
GAME #24 : Winner - [0]
GAME #25 : Winner - [1]
GAME #26 : Winner - [0]
GAME #27 : Winner - [0]
GAME #28 : Winner - [1]
GAME #29 : Winner - [2]
GAME #30 : Winner - [0]
GAME #31 : Winner - [0]
GAME #32 : Winner - [2]
GAME #33 : Winner - [2]
GAME #34 : Winner - [0]
GAME #35 : Winner - [1]
GAME #36 : Winner - [0]
GAME #37 : Winner - [0]
GAME #38 : Winner - [1]
GAME #39 : Winner - [0]
GAME #40 : Winner - [2]
GAME #41 : Winner - [1]
GAME #42 : Winner - [0]
GAME #43 : Winner - [1]
GAME #44 : Winner - [0]
GAME #45 : Winner - [1]
GAME #46 : Winner - [0]
GAME #47 : Winner - [0]
GAME #48 : Winner - [0]
GAME #49 : Winner - [1]
GAME #50 : Winner - [0]
GAME #51 : Winner - [2]
GAME #52 : Winner - [0]
GAME #53 : Winner - [0]
GAME #54 : Winner - [2]
GAME #55 : Winner - [0]
GAME #56 : Winner - [1]
GAME #57 : Winner - [2]
GAME #58 : Winner - [0]
GAME #59 : Winner - [2]
GAME #60 : Winner - [0]
GAME #61 : Winner - [1]
GAME #62 : Winner - [0]
GAME #63 : Winner - [0]
GAME #64 : Winner - [0]
GAME #65 : Winner - [0]
GAME #66 : Winner - [2]
GAME #67 : Winner - [2]
GAME #68 : Winner - [1]
GAME #69 : Winner - [0]
GAME #70 : Winner - [0]
GAME #71 : Winner - [0]
GAME #72 : Winner - [2]
GAME #73 : Winner - [0]
GAME #74 : Winner - [2]
GAME #75 : Winner - [0]
GAME #76 : Winner - [1]
GAME #77 : Winner - [0]
GAME #78 : Winner - [0]
GAME #79 : Winner - [2]
GAME #80 : Winner - [2]
GAME #81 : Winner - [1]
GAME #82 : Winner - [1]
GAME #83 : Winner - [2]
GAME #84 : Winner - [0]
GAME #85 : Winner - [0]
GAME #86 : Winner - [0]
GAME #87 : Winner - [0]
GAME #88 : Winner - [0]
GAME #89 : Winner - [0]
GAME #90 : Winner - [0]
GAME #91 : Winner - [2]
GAME #92 : Winner - [0]
GAME #93 : Winner - [1]
GAME #94 : Winner - [2]
GAME #95 : Winner - [1]
GAME #96 : Winner - [2]
GAME #97 : Winner - [1]
GAME #98 : Winner - [1]
GAME #99 : Winner - [1]
GAME #100 : Winner - [1]
GAME #101 : Winner - [0]
GAME #102 : Winner - [2]
GAME #103 : Winner - [0]
GAME #104 : Winner - [2]
GAME #105 : Winner - [1]
GAME #106 : Winner - [0]
GAME #107 : Winner - [1]
GAME #108 : Winner - [0]
GAME #109 : Winner - [0]
GAME #110 : Winner - [1]
GAME #111 : Winner - [2]
GAME #112 : Winner - [2]
GAME #113 : Winner - [0]
GAME #114 : Winner - [2]
GAME #115 : Winner - [2]
GAME #116 : Winner - [0]
GAME #117 : Winner - [0]
